BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots,StrengthRatio,TotalImprovement,CompetitionNumber,DaysSinceLastCompetition
1.0,0.591,0.582,0.52,0.584,0.014,-0.199,0.084,0.012,0.036
0.591,1.0,0.92,0.901,0.978,0.735,0.624,0.241,0.17,0.042
0.582,0.92,1.0,0.882,0.96,0.651,0.602,0.185,0.135,0.058
0.52,0.901,0.882,1.0,0.961,0.675,0.671,0.172,0.108,0.047
0.584,0.978,0.96,0.961,1.0,0.716,0.656,0.21,0.145,0.05
0.014,0.735,0.651,0.675,0.716,1.0,0.872,0.242,0.307,-0.009
-0.199,0.624,0.602,0.671,0.656,0.872,1.0,0.173,0.183,0.026
0.084,0.241,0.185,0.172,0.21,0.242,0.173,1.0,-0.104,0.056
0.012,0.17,0.135,0.108,0.145,0.307,0.183,-0.104,1.0,-0.121
0.036,0.042,0.058,0.047,0.05,-0.009,0.026,0.056,-0.121,1.0
